"id_contenedor","fecha_registro","num_kg_depositado","num_m3_depositado","num_nivel_llenado","num_aperturas","num_nivel_bateria"
279,2014-03-01 00:00:00,3.969,913,14,1.476,23
280,2014-03-01 00:00:00,5.191,533,9,335,18
281,2014-03-01 00:00:00,3.206,813,29,1.095,90
282,2014-03-01 00:00:00,517,2.383,62,2.164,41
283,2014-03-01 00:00:00,1.778,2.097,96,1.631,90
284,2014-03-01 00:00:00,2.040,306,65,359,44
285,2014-03-01 00:00:00,1.762,930,48,2.430,90
286,2014-03-01 00:00:00,1.418,448,11,118,38
287,2014-03-01 00:00:00,5.100,668,0,1.500,27
288,2014-03-01 00:00:00,259,1.865,2,1.310,42
289,2014-03-01 00:00:00,5.134,335,70,259,87
290,2014-03-01 00:00:00,2.473,1.627,51,2.323,85
291,2014-03-01 00:00:00,1.710,1.938,61,175,91
292,2014-03-01 00:00:00,4.365,1.085,18,1.600,98
293,2014-03-01 00:00:00,757,2.695,85,2.318,60
294,2014-03-01 00:00:00,417,1.996,36,128,26
295,2014-03-01 00:00:00,142,1.208,26,466,62
296,2014-03-01 00:00:00,1.893,670,82,2.922,49
297,2014-03-01 00:00:00,1.112,1.487,83,814,15
298,2014-03-01 00:00:00,2.205,1.010,44,1.162,91
299,2014-03-01 00:00:00,1.991,153,50,471,24
300,2014-03-01 00:00:00,1.686,1.348,74,1.070,47
302,2014-03-01 00:00:00,825,2.503,16,1.048,92
301,2014-03-01 00:00:00,5.203,1.942,29,388,7
260,2014-03-01 00:00:00,1.298,1.137,89,240,75
249,2014-03-01 00:00:00,201,1.594,23,2.903,57
250,2014-03-01 00:00:00,3.073,277,64,2.275,42
251,2014-03-01 00:00:00,2.557,2.559,72,1.252,76
252,2014-03-01 00:00:00,355,918,14,2.559,59
253,2014-03-01 00:00:00,147,2.051,50,2.598,3
254,2014-03-01 00:00:00,3.867,1.844,39,2.710,4
255,2014-03-01 00:00:00,1.544,1.464,98,721,34
256,2014-03-01 00:00:00,5.064,1.535,82,1.670,6
257,2014-03-01 00:00:00,5.191,2.164,55,2.796,40
258,2014-03-01 00:00:00,3.486,708,12,1.340,68
259,2014-03-01 00:00:00,5.023,750,54,1.160,77
276,2014-03-01 00:00:00,5.257,390,12,535,50
275,2014-03-01 00:00:00,2.172,2.318,37,965,87
274,2014-03-01 00:00:00,2.304,1.095,60,2.323,2
232,2014-03-01 00:00:00,4.282,871,60,1.059,87
233,2014-03-01 00:00:00,334,2.468,69,2.394,48
234,2014-03-01 00:00:00,1.373,626,98,496,13
235,2014-03-01 00:00:00,831,2.900,45,1.241,22
236,2014-03-01 00:00:00,2.585,2.689,59,2.021,72
237,2014-03-01 00:00:00,3.239,121,37,2.634,25
238,2014-03-01 00:00:00,2.570,1.545,14,272,51
239,2014-03-01 00:00:00,217,1.643,87,1.149,9
240,2014-03-01 00:00:00,4.281,438,4,1.262,20
241,2014-03-01 00:00:00,4.735,726,66,2.475,79
242,2014-03-01 00:00:00,464,981,14,1.199,50
243,2014-03-01 00:00:00,352,836,79,2.075,68
244,2014-03-01 00:00:00,2.261,1.562,13,1.484,78
245,2014-03-01 00:00:00,3.823,883,58,1.660,57
246,2014-03-01 00:00:00,2.985,2.135,11,279,14
247,2014-03-01 00:00:00,2.593,1.936,45,2.678,33
248,2014-03-01 00:00:00,4.947,329,31,2.221,58
208,2014-03-01 00:00:00,3.827,2.717,73,1.686,29
231,2014-03-01 00:00:00,3.197,452,7,390,13
230,2014-03-01 00:00:00,4.037,2.103,81,560,24
229,2014-03-01 00:00:00,4.995,649,76,2.009,58
228,2014-03-01 00:00:00,1.381,1.204,72,361,21
227,2014-03-01 00:00:00,2.171,2.428,50,1.577,56
226,2014-03-01 00:00:00,423,2.137,42,817,22
225,2014-03-01 00:00:00,4.197,623,33,2.060,64
224,2014-03-01 00:00:00,1.051,1.506,94,1.924,78
223,2014-03-01 00:00:00,1.173,1.477,35,2.922,13
222,2014-03-01 00:00:00,4.937,2.602,43,261,35
221,2014-03-01 00:00:00,3.434,2.701,83,2.830,94
220,2014-03-01 00:00:00,3.543,2.425,66,2.880,62
219,2014-03-01 00:00:00,3.401,2.771,61,1.945,1
218,2014-03-01 00:00:00,3.308,1.833,87,483,92
217,2014-03-01 00:00:00,1.568,1.089,52,1.597,73
216,2014-03-01 00:00:00,186,2.059,41,2.305,89
215,2014-03-01 00:00:00,171,1.882,68,664,79
214,2014-03-01 00:00:00,4.737,619,87,666,89
213,2014-03-01 00:00:00,3.007,1.049,92,2.595,90
212,2014-03-01 00:00:00,811,2.614,10,2.071,32
211,2014-03-01 00:00:00,3.522,1.953,8,2.681,19
210,2014-03-01 00:00:00,1.097,1.412,67,2.249,59
209,2014-03-01 00:00:00,1.272,970,49,542,30
201,2014-03-01 00:00:00,5.006,2.022,72,2.643,21
140,2014-03-01 00:00:00,2.221,859,81,1.806,38
141,2014-03-01 00:00:00,2.357,2.069,69,373,56
142,2014-03-01 00:00:00,1.981,2.113,46,1.098,87
143,2014-03-01 00:00:00,1.176,1.114,68,2.876,83
144,2014-03-01 00:00:00,3.769,2.836,31,2.111,70
145,2014-03-01 00:00:00,539,2.491,8,2.009,52
146,2014-03-01 00:00:00,1.899,1.143,33,203,66
147,2014-03-01 00:00:00,2.782,1.917,29,1.042,46
148,2014-03-01 00:00:00,4.453,1.001,19,2.449,13
149,2014-03-01 00:00:00,796,2.015,72,2.137,56
150,2014-03-01 00:00:00,2.738,556,91,2.348,31
151,2014-03-01 00:00:00,2.914,768,56,1.356,73
152,2014-03-01 00:00:00,1.522,2.829,92,2.514,31
153,2014-03-01 00:00:00,527,2.059,30,355,98
154,2014-03-01 00:00:00,4.569,1.839,39,1.456,80
155,2014-03-01 00:00:00,3.067,1.669,86,2.773,38
156,2014-03-01 00:00:00,2.414,2.912,58,873,78
157,2014-03-01 00:00:00,3.854,561,18,943,86
158,2014-03-01 00:00:00,3.200,508,2,63,53
159,2014-03-01 00:00:00,186,2.700,48,1.937,94
160,2014-03-01 00:00:00,464,811,78,377,1
161,2014-03-01 00:00:00,1.553,2.656,70,998,10
162,2014-03-01 00:00:00,1.052,2.543,36,630,28
163,2014-03-01 00:00:00,290,2.076,27,1.317,29
164,2014-03-01 00:00:00,170,2.402,65,2.131,27
165,2014-03-01 00:00:00,4.870,2.795,22,2.788,82
166,2014-03-01 00:00:00,878,2.713,41,1.955,39
167,2014-03-01 00:00:00,3.357,1.934,42,2.721,48
168,2014-03-01 00:00:00,978,377,98,2.283,54
169,2014-03-01 00:00:00,450,661,43,243,8
170,2014-03-01 00:00:00,2.847,1.496,16,2.739,27
171,2014-03-01 00:00:00,3.185,743,99,2.830,43
172,2014-03-01 00:00:00,1.641,2.379,8,790,58
173,2014-03-01 00:00:00,5.409,2.766,81,1.235,70
174,2014-03-01 00:00:00,3.535,1.400,15,2.236,81
175,2014-03-01 00:00:00,1.575,2.823,18,724,37
176,2014-03-01 00:00:00,283,2.768,90,2.717,1
177,2014-03-01 00:00:00,5.047,1.921,48,937,72
178,2014-03-01 00:00:00,1.121,2.861,3,617,21
179,2014-03-01 00:00:00,2.245,2.508,22,825,49
180,2014-03-01 00:00:00,4.026,2.688,97,2.037,57
181,2014-03-01 00:00:00,5.036,1.811,65,1.848,56
182,2014-03-01 00:00:00,2.053,2.855,21,1.123,79
183,2014-03-01 00:00:00,692,1.647,56,952,8
184,2014-03-01 00:00:00,3.932,1.954,4,2.658,68
185,2014-03-01 00:00:00,1.258,2.724,60,1.728,81
186,2014-03-01 00:00:00,710,2.023,63,2.270,88
187,2014-03-01 00:00:00,4.965,1.269,55,94,99
188,2014-03-01 00:00:00,2.262,1.250,40,258,55
189,2014-03-01 00:00:00,2.770,255,61,2.546,44
190,2014-03-01 00:00:00,2.911,381,7,2.687,96
191,2014-03-01 00:00:00,3.072,2.095,96,811,15
192,2014-03-01 00:00:00,1.254,2.137,40,850,11
193,2014-03-01 00:00:00,5.338,920,45,2.374,11
194,2014-03-01 00:00:00,4.842,1.032,16,901,59
195,2014-03-01 00:00:00,2.106,2.856,36,1.063,41
196,2014-03-01 00:00:00,1.497,2.355,36,158,89
197,2014-03-01 00:00:00,1.731,2.890,68,966,80
198,2014-03-01 00:00:00,4.255,1.222,62,650,99
199,2014-03-01 00:00:00,1.374,1.089,51,2.452,58
200,2014-03-01 00:00:00,4.502,721,66,64,24
202,2014-03-01 00:00:00,3.898,2.124,97,782,95
203,2014-03-01 00:00:00,941,567,85,618,93
204,2014-03-01 00:00:00,2.705,1.932,51,1.206,20
205,2014-03-01 00:00:00,1.439,1.704,66,1.002,70
